Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
Slug A Bug EP,Opiuo x Shapeshifter,2015,http://opiuo.bandcamp.com,1,Slug A Bug,Opiuo x Shapeshifter - Slug A Bug EP - 01 Slug A Bug.flac,2701,Opiuo x Shapeshifter - Slug A Bug EP,Opiuo x Shapeshifter - Slug A Bug EP
organism sampler,Thomas Gaynor,2014,http://organism.co.nz,1,Danse Macabre - Camille Saint-Sans,Thomas Gaynor - organism sampler - 01 Danse Macabre - Camille Saint-Sans.flac,2713,organism - organism sampler,organism - organism sampler
Skepticism,Oscillate,2014,http://oscillatenz.bandcamp.com,1,Skepticism,Oscillate - Skepticism - 01 Skepticism.flac,2714,Oscillate - Skepticism,Oscillate - Skepticism
What Use Is A Mouth To A Moth,Other,2012,http://other.bandcamp.com,1,I See What I Mean,Other - What Use Is A Mouth To A Moth - 01 I See What I Mean.flac,2719,Other - What Use Is A Mouth To A Moth,Other - What Use Is A Mouth To A Moth
PISS,P.I.S.S.,2015,http://royirwin.bandcamp.com,1,Dirty Sheets,P_I_S_S_ - PISS - 01 Dirty Sheets.flac,2726,P_I_S_S_ - PISS,P_I_S_S_ - PISS
Pioneers,Pacific Deep,2015,http://pacificdeep.bandcamp.com,1,Open Your Eyes,Pacific Deep - Pioneers - 01 Open Your Eyes.flac,2730,Pacific Deep - Pioneers,Pacific Deep - Pioneers
PALS4EVA,PALS,2014,http://palsruleok.bandcamp.com,1,Never Had No Fun,PALS - PALS4EVA - 01 Never Had No Fun.flac,2743,PALS - PALS4EVA,PALS - PALS4EVA
Signal Fingers,Paperghost,2015,http://paperghost.bandcamp.com,1,The Once Great City Now Cannibalising its Smaller Buildings,Paperghost - Signal Fingers - 01 The Once Great City Now Cannibalising its Smaller Buildings.flac,2751,Paperghost - Signal Fingers,Paperghost - Signal Fingers
False Dawn,Paraiyar,2015,http://paraiyar.bandcamp.com,1,Smog (Intro),Paraiyar - False Dawn - 01 Smog (Intro).flac,2758,Paraiyar - False Dawn,Paraiyar - False Dawn
Glass Eden EP,Paraiyar,2015,http://paraiyar.bandcamp.com,1,Effeminiate Society,Paraiyar - Glass Eden EP - 01 Effeminiate Society.flac,2768,Paraiyar - Glass Eden EP,Paraiyar - Glass Eden EP
Pavement Slave EP,Paraiyar,2015,http://paraiyar.bandcamp.com,1,Pavement Slave,Paraiyar - Pavement Slave EP - 01 Pavement Slave.flac,2771,Paraiyar - Pavement Slave EP,Paraiyar - Pavement Slave EP
Low Life,Parents,2014,http://parentsnz.bandcamp.com,1,Change,Parents - Low Life - 01 Change.flac,2774,Parents - Low Life,Parents - Low Life
Intelligent chaos 1.0,Paul Seccombe,2015,http://paulseccombe.bandcamp.com,1,You are here,Paul Seccombe - Intelligent chaos 1_0 - 01 You are here.flac,2782,Paul Seccombe - Intelligent chaos 1_0,Paul Seccombe - Intelligent chaos 1_0
Jungle River Adventure,Paul Williams,2015,http://paulwilliams12.bandcamp.com,1,Disneyland,Paul Williams - Jungle River Adventure - 01 Disneyland.flac,2794,Paul Williams - Jungle River Adventure,Paul Williams - Jungle River Adventure
Pattern Recognition,Peel,2005,http://peelnz.bandcamp.com,1,Drag Force,Peel - Pattern Recognition - 01 Drag Force.flac,2802,Peel - Pattern Recognition,Peel - Pattern Recognition
Dualism EP,Pip John,2012,http://pipjohn.bandcamp.com,1,Glamingham,Pip John - Dualism EP - 01 Glamingham.flac,2813,Pip John - Dualism EP,Pip John - Dualism EP
Emeralds EP,Pip John,2014,http://pipjohn.bandcamp.com,1,First,Pip John - Emeralds EP - 01 First.flac,2815,Pip John - Emeralds EP,Pip John - Emeralds EP
Thomas & I,Pip John,2012,http://pipjohn.bandcamp.com,1,Farewell,Pip John - Thomas & I - 01 Farewell.flac,2818,Pip John - Thomas & I,Pip John - Thomas & I
Polaroids of Polarbears,Polaroids of Polarbears,2014,http://polaroidsofpolarbears.bandcamp.com,1,Its only JANUARY can we go back to sleep,Polaroids of Polarbears - Polaroids of Polarbears - 01 Its only JANUARY can we go back to sleep.flac,2823,Polaroids of Polarbears - Polaroids of Polarbears,Polaroids of Polarbears - Polaroids of Polarbears
Poor You Poor Me,Poor You Poor Me,2016,http://pooryoupoorme.bandcamp.com,1,Kick You In The Teeth,Poor You Poor Me - Poor You Poor Me - 01 Kick You In The Teeth.flac,2829,Poor You Poor Me - Poor You Poor Me,Poor You Poor Me - Poor You Poor Me
Protein Sheik,problematic flush mechanism,2015,http://louissmith.bandcamp.com,1,Disease Of The Age,problematic flush mechanism - Protein Sheik - 01 Disease Of The Age.flac,2839,problematic flush mechanism - Protein Sheik,problematic flush mechanism - Protein Sheik
Psych Emergency - EP,Psych Emergency,2015,http://psychemergency.bandcamp.com,1,Eagle Mustard,Psych Emergency - Psych Emergency - EP - 01 Eagle Mustard.flac,2845,Psych Emergency - Psych Emergency - EP,Psych Emergency - Psych Emergency - EP
No Kids In Africa EP,Psychodalix,2015,http://psychodalix.bandcamp.com,1,Motherland,Psychodalix - No Kids In Africa EP - 01 Motherland.flac,2850,Psychodalix - No Kids In Africa EP,Psychodalix - No Kids In Africa EP
